# Auto-generated Opening Book
# Max opening moves: 10
# Format: sequence -> move (score) [depth]
# Generated entries: 768

 -> 33 (5000) [1]
33,11,13,14 -> 12 (10000) [10]
33,11,13,34 -> 15 (10000) [10]
13,33,19,38 -> 41 (10000) [10]
33,11,13,22 -> 44 (14) [10]
33,11,13,63 -> 12 (10000) [10]
33,13,28,8 -> 15 (10000) [10]
33,11,13,72 -> 21 (10000) [10]
33,12,43,27 -> 14 (10000) [10]
33,13,28,24 -> 15 (10000) [10]
33,22,34,23 -> 13 (11) [10]
33,12,43,13 -> 14 (10000) [10]
13,33,19,23 -> 14 (0) [10]
33,12,23,32 -> 43 (10000) [10]
33,13,28,23 -> 15 (10000) [10]
33,12,43,31 -> 21 (10000) [10]
12,33,71,62 -> 41 (10000) [10]
33,23,31 -> 55 (10000) [10]
33,22,34,43 -> 21 (10000) [10]
33,12,43,26 -> 21 (10000) [10]
33,23,31,27 -> 44 (10000) [10]
33,22,34,42 -> 54 (10000) [10]
33,23,31,32 -> 44 (10000) [10]
33,12,23,42 -> 55 (10000) [10]
33,23,31,36 -> 44 (10000) [10]
33,12,43,18 -> 45 (10000) [10]
33,22,34,53 -> 11 (10000) [10]
33,23,31,34 -> 44 (10000) [10]
33,23,31,38 -> 44 (10000) [10]
33,23,31,41 -> 44 (10000) [10]
33,23,31,43 -> 44 (10000) [10]
33,23,31,24 -> 44 (10000) [10]
33,13,23 -> 54 (12) [10]
33,22,13 -> 41 (13) [10]
33,13,23,32 -> 24 (10000) [10]
33,22,13,23 -> 11 (10000) [10]
33,13,23,12 -> 32 (10000) [10]
33,22,13,43 -> 11 (10000) [10]
33,22,13,83 -> 11 (10000) [10]
33,22,13,61 -> 11 (10000) [10]
33,22,13,12 -> 11 (10000) [10]
33,22,13,14 -> 21 (12) [10]
33,22,13,63 -> 21 (12) [10]
33,22,13,72 -> 11 (10000) [10]
33,12,81 -> 52 (13) [10]
12,33,81 -> 11 (10000) [10]
33,13,23,19 -> 22 (10000) [10]
12,33,81,13 -> 21 (10000) [10]
12,33,81,23 -> 21 (10000) [10]
12,33,81,72 -> 21 (10000) [10]
33,23,32 -> 24 (11) [10]
33,12,18 -> 45 (13) [10]
12,33,81,71 -> 21 (10000) [10]
12,33,81,22 -> 21 (10000) [10]
12,33,81,42 -> 21 (10000) [10]
33,12,18,27 -> 15 (10000) [10]
12,33,81,43 -> 21 (10000) [10]
13,33,17 -> 23 (0) [10]
33,12,18,13 -> 15 (10000) [10]
12,33,81,62 -> 21 (10000) [10]
33,23,32,43 -> 45 (10000) [10]
33,13,23,28 -> 24 (10000) [10]
33,12,18,38 -> 15 (10000) [10]
13,33,17,43 -> 11 (-1) [10]
33,23,32,35 -> 25 (10000) [10]
33,12,81,23 -> 25 (10000) [10]
13,33,17,32 -> 14 (10000) [10]
33,13,23,43 -> 22 (10000) [10]
13,33,17,27 -> 14 (10000) [10]
33,23,32,13 -> 51 (10000) [10]
33,12,18,43 -> 15 (10000) [10]
13,33,17,34 -> 45 (1) [10]
33,13,23,31 -> 11 (10000) [10]
33,12,18,32 -> 15 (10000) [10]
33,23,32,34 -> 51 (10000) [10]
33,12,81,43 -> 21 (10000) [10]
13,33,17,35 -> 14 (10000) [10]
33,12,18,35 -> 52 (10000) [10]
33,23,32,37 -> 31 (11) [10]
33,12,18,24 -> 32 (10000) [10]
13,33,17,24 -> 45 (10000) [10]
33,12,81,83 -> 25 (10000) [10]
33,23,32,38 -> 45 (10000) [10]
33,12,18,37 -> 55 (10000) [10]
13,33,17,38 -> 11 (-1) [10]
33,23,32,42 -> 31 (11) [10]
